category,label,text
Grammar,A,Dialogue formatting and punctuation
Grammar,B,Tense consistency throughout the completion
Grammar,C,"Sentence structure logic, clarity and completion"
Grammar,D,Age-appropriate vocabulary usage
Grammar,E,Proper use of pronouns and referents
Creativity,A,Does the completion offer unexpected or novel elements?
Creativity,B,Are character behavioral and emotional responses predictable or innovative?
Creativity,C,Does the story rely on cliches or create fresh situations?
Creativity,D,Does the writer add unique details to the story world?
Plot,A,"Is there a clear beginning, middle, and end appropriate to age level?"
Plot,B,Are conflicts addressed rather than abandoned?
Plot,C,Is the pacing appropriate (not too rushed or dragging)?
Plot,D,Does the story maintain focus on the central conflict/theme without random diversions?
Factual Knowledge,A,Completion contains only correct factual information relevant to the prompt
Reasoning,A,Completion demonstrates correct logical reasoning relevant to the prompt
Context-Tracking,A,Competion maintains complete coherence with prompt
Context-Tracking,B,"Correctly references/tracks all objects, characters, and their attributes"
Context-Tracking,C,Maintains consistent narrative flow
